source_id,name,id,servertime,tilex,tiley
1802,ICAO-4007F9,39742344,201705071755,19867,24356
1807,ICAO-A85D50,39788346,201705080745,19846,24224
1810,ICAO-A6FF58,39791603,201705080840,19811,24285
1810,ICAO-A6FF58,39791396,201705080840,19799,24274
1810,ICAO-A6FF58,39791661,201705080840,19815,24288
1810,ICAO-A6FF58,39791543,201705080840,19808,24282
1810,ICAO-A6FF58,39791824,201705080840,19827,24296
1810,ICAO-A6FF58,39791478,201705080840,19804,24278
1810,ICAO-A6FF58,39791554,201705080840,19809,24283
1810,ICAO-A6FF58,39791650,201705080840,19814,24288
1810,ICAO-A6FF58,39791681,201705080840,19816,24290
1810,ICAO-A6FF58,39791649,201705080840,19814,24287
1825,AABD2B,39695882,201705071710,19071,25463
1825,AABD2B,39693991,201705071710,19077,25444
1825,AABD2B,39695170,201705071710,19071,25463
1825,AABD2B,39693407,201705071710,19079,25438
1842,A6082F,39703725,201705071720,18942,25464
1842,A6082F,39704035,201705071720,18944,25460
1842,A6082F,39703806,201705071720,18942,25464
1842,A6082F,39703843,201705071720,18944,25460
1845,ICAO-ACBF63,39783799,201705080540,19805,24212
1845,ICAO-ACBF63,39783801,201705080540,19805,24212
1848,ICAO-A98F6A,39764854,201705071820,19035,24071
1848,ICAO-A98F6A,39765021,201705071820,19074,24080
1848,ICAO-A98F6A,39764761,201705071820,19004,24064
1848,ICAO-A98F6A,39775335,201705072040,19632,24301
1848,ICAO-A98F6A,39775356,201705072040,19626,24302
1848,ICAO-A98F6A,39775218,201705072040,19685,24289
1858,A83FBD,39665229,201705071645,18857,25537
1861,A2DCEE,39727414,201705071745,18953,25554
1861,A2DCEE,39725496,201705071745,18875,25589
1861,A2DCEE,39728660,201705071745,18995,25536
1861,A2DCEE,39726294,201705071745,18909,25574
1861,A2DCEE,39727378,201705071745,18949,25556
1861,A2DCEE,39726219,201705071745,18906,25575
1861,A2DCEE,39726160,201705071745,18903,25577
1861,A2DCEE,39728261,201705071745,18974,25545
1861,A2DCEE,39725502,201705071745,18875,25589
1861,A2DCEE,39725812,201705071745,18888,25584
1861,A2DCEE,39726191,201705071745,18906,25575
1861,A2DCEE,39727293,201705071745,18949,25556
1861,A2DCEE,39726645,201705071745,18925,25567
1861,A2DCEE,39725364,201705071745,18869,25592
1861,A2DCEE,39727092,201705071745,18944,25558
1861,A2DCEE,39725374,201705071745,18869,25592
1868,ICAO-A03C7E,39658782,201705071640,18960,24159
1868,ICAO-A03C7E,39658948,201705071640,18970,24159
1881,ICAO-A81B2A,39786488,201705080650,19813,24214
1883,A654CB,39730286,201705071750,18742,25589
1883,A654CB,39732529,201705071750,18723,25648
1883,A654CB,39731503,201705071750,18733,25617
1883,A654CB,39729888,201705071750,18745,25579
1883,A654CB,39732666,201705071750,18723,25648
1883,A654CB,39732260,201705071750,18726,25638
1883,A654CB,39732159,201705071750,18727,25634
1883,A654CB,39730258,201705071750,18743,25587
1883,A654CB,39729566,201705071750,18748,25570
1883,A654CB,39729703,201705071750,18747,25573
1883,A654CB,39732450,201705071750,18726,25638
1883,A654CB,39730202,201705071750,18743,25586
1920,ICAO-C0080A,39767730,201705071905,19826,24361
1920,ICAO-C0080A,39767912,201705071905,19879,24308
1920,ICAO-C0080A,39767935,201705071905,19885,24302
1933,ICAO-406D78,39777832,201705072210,19744,24247
1933,ICAO-406D78,39777797,201705072210,19726,24263
1933,ICAO-406D78,39777847,201705072210,19752,24240
1933,ICAO-406D78,39777811,201705072210,19732,24257
1933,ICAO-406D78,39777857,201705072210,19760,24234
1944,AD734A,39725621,201705071745,18932,25480
1944,AD734A,39726456,201705071745,18946,25448
1944,AD734A,39725743,201705071745,18933,25476
1944,AD734A,39726218,201705071745,18942,25457
1944,AD734A,39725705,201705071745,18933,25477
1944,AD734A,39725446,201705071745,18929,25486
1944,AD734A,39725920,201705071745,18937,25468
1944,AD734A,39726254,201705071745,18943,25456
1944,AD734A,39726159,201705071745,18941,25459
1944,AD734A,39726018,201705071745,18937,25468
1944,AD734A,39725407,201705071745,18928,25487
1944,AD734A,39725281,201705071745,18926,25492
1944,AD734A,39726467,201705071745,18947,25447
1944,AD734A,39725952,201705071745,18937,25468
1945,A84D62,39762796,201705071810,18911,25460
1945,A84D62,39762666,201705071810,18909,25464
1945,A84D62,39762496,201705071810,18906,25468
1945,A84D62,39762763,201705071810,18909,25464
1945,A84D62,39763587,201705071810,18928,25433
1945,A84D62,39762637,201705071810,18906,25468
1945,A84D62,39762726,201705071810,18909,25464
1945,A84D62,39763113,201705071810,18917,25450
1963,ICAO-AA4195,39780270,201705072310,19716,24314
1963,ICAO-AA4195,39780325,201705072310,19738,24293
1963,ICAO-AA4195,39780216,201705072310,19693,24334
1966,AA7C64,39717837,201705071730,18899,25608
1966,AA7C64,39718312,201705071730,18906,25588
1966,AA7C64,39718456,201705071730,18908,25584
1966,AA7C64,39716764,201705071730,18886,25642
1966,AA7C64,39717597,201705071730,18896,25615
1966,AA7C64,39717515,201705071730,18895,25618
1966,AA7C64,39717826,201705071730,18899,25608
1966,AA7C64,39716967,201705071730,18889,25634
1966,AA7C64,39718947,201705071730,18915,25565
1966,AA7C64,39719073,201705071730,18917,25559
1966,AA7C64,39719986,201705071730,18931,25524
1966,AA7C64,39719055,201705071730,18915,25564
1966,AA7C64,39719992,201705071730,18931,25524
1966,AA7C64,39719969,201705071730,18931,25524
1966,AA7C64,39718141,201705071730,18904,25594
1966,AA7C64,39720042,201705071730,18932,25521
